Date;7 DAYS MA;14 DAYS MA;21 DAYS MA;7 DAYS STD DEV;RSI 7;RSI 14;RSI 21;MFI 7;MFI 14;MFI 21;dayofweek;quarter;month;year;dayofyear;dayofmonth;weekofyear;Predicted Close;Actual Close;Diff;Within RMSE Range;Actual Return;Predicted Return;TP;TN;FP;FN
9/10/2020;2307.14;2407.86;2434.29;87.51;8.72;21.45;28.99;0.00;19.62;41.73;3;3;9;2020;254;10;37;2052.86;2040.00;-12.86;yes;down;down;no;yes;no;no
9/11/2020;2252.86;2373.57;2415.24;118.28;36.95;35.71;37.83;19.57;29.35;46.24;4;3;9;2020;255;11;37;2195.32;2190.00;-5.32;yes;up;up;yes;no;no;no
9/14/2020;2221.43;2352.14;2402.86;96.86;47.12;41.78;41.88;34.23;35.03;50.15;0;3;9;2020;258;14;38;2231.88;2270.00;38.12;yes;up;up;yes;no;no;no
9/15/2020;2211.43;2337.14;2396.19;85.52;40.46;38.36;39.52;35.56;30.27;47.62;1;3;9;2020;259;15;38;2201.56;2200.00;-1.56;yes;down;down;no;yes;no;no
9/16/2020;2197.14;2312.86;2385.24;76.10;34.73;35.26;37.30;38.83;24.11;39.41;2;3;9;2020;260;16;38;2161.48;2130.00;-31.48;yes;down;down;no;yes;no;no
9/17/2020;2180.00;2283.57;2362.38;75.72;31.73;33.59;36.09;40.18;18.42;31.03;3;3;9;2020;261;17;38;2121.12;2090.00;-31.12;yes;down;down;no;yes;no;no
9/18/2020;2158.57;2250.71;2340.48;77.12;40.69;38.31;39.20;52.73;24.32;34.82;4;3;9;2020;262;18;38;2114.81;2150.00;35.19;yes;up;down;no;no;no;yes
9/21/2020;2152.86;2230.00;2322.86;75.88;33.09;34.37;36.41;60.03;25.47;31.10;0;3;9;2020;265;21;39;2094.32;2060.00;-34.32;yes;down;down;no;yes;no;no
9/22/2020;2155.71;2204.29;2300.95;71.15;30.85;33.14;35.52;39.61;26.29;31.62;1;3;9;2020;266;22;39;2086.51;2030.00;-56.51;no;down;down;no;yes;no;no
9/23/2020;2132.86;2177.14;2279.05;83.01;27.58;31.33;34.21;15.60;27.80;30.94;2;3;9;2020;267;23;39;2033.04;1985.00;-48.04;no;down;down;no;yes;no;no
9/24/2020;2092.14;2151.79;2255.48;73.93;23.96;29.24;32.67;16.41;29.01;27.48;3;3;9;2020;268;24;39;1958.65;1930.00;-28.65;yes;down;down;no;yes;no;no
9/25/2020;2053.57;2125.36;2226.43;78.57;30.71;32.34;34.64;33.16;36.71;26.06;4;3;9;2020;269;25;39;2013.04;1965.00;-48.04;no;up;up;yes;no;no;no
9/28/2020;2030.00;2105.00;2199.05;76.54;38.85;36.21;37.13;49.28;43.81;25.61;0;3;9;2020;272;28;40;2014.88;2010.00;-4.88;yes;up;up;yes;no;no;no
9/29/2020;2018.57;2088.57;2173.33;71.92;36.62;35.25;36.48;47.38;50.57;29.80;1;3;9;2020;273;29;40;1979.75;1990.00;10.25;yes;down;down;no;yes;no;no
9/30/2020;1995.71;2074.29;2151.90;42.66;44.11;38.76;38.73;58.33;59.27;33.80;2;3;9;2020;274;30;40;1987.47;2030.00;42.53;yes;up;up;yes;no;no;no
10/1/2020;1991.43;2073.57;2133.33;36.14;64.76;50.96;47.08;72.55;58.17;40.26;3;4;10;2020;275;1;40;2120.28;2200.00;79.72;no;up;up;yes;no;no;no
10/2/2020;2015.71;2074.29;2123.33;87.29;51.66;45.25;43.43;71.98;47.85;41.74;4;4;10;2020;276;2;40;2053.90;2100.00;46.10;yes;down;down;no;yes;no;no
10/5/2020;2032.14;2062.14;2111.90;91.28;50.47;44.71;43.08;75.42;50.22;43.61;0;4;10;2020;279;5;41;2059.67;2090.00;30.33;yes;down;up;no;no;yes;no
10/6/2020;2055.00;2054.29;2101.90;80.88;54.17;46.76;44.49;73.67;55.20;48.11;1;4;10;2020;280;6;41;2117.71;2120.00;2.29;yes;up;up;yes;no;no;no
10/7/2020;2077.14;2053.57;2095.71;72.96;60.97;50.70;47.24;73.09;61.68;52.66;2;4;10;2020;281;7;41;2151.15;2180.00;28.85;yes;up;up;yes;no;no;no
10/8/2020;2101.43;2060.00;2092.86;75.15;63.10;51.97;48.14;75.91;63.28;59.11;3;4;10;2020;282;8;41;2205.97;2200.00;-5.97;yes;up;up;yes;no;no;no
10/9/2020;2131.43;2063.57;2093.33;64.40;63.10;51.97;48.14;76.91;68.70;65.61;4;4;10;2020;283;9;41;2244.84;2200.00;-44.84;yes;up;up;yes;no;no;no
10/12/2020;2155.71;2073.57;2100.95;50.28;64.42;52.68;48.63;73.41;72.95;63.26;0;4;10;2020;286;12;42;2239.79;2210.00;-29.79;yes;up;down;no;no;no;yes
10/13/2020;2157.14;2086.43;2101.90;51.87;59.45;51.06;47.69;81.66;76.26;58.40;1;4;10;2020;287;13;42;2180.68;2190.00;9.32;yes;down;down;no;yes;no;no
10/14/2020;2170.00;2101.07;2098.10;46.19;62.80;52.63;48.73;90.56;82.82;64.48;2;4;10;2020;288;14;42;2251.31;2210.00;-41.31;yes;up;up;yes;no;no;no
10/15/2020;2187.14;2121.07;2098.57;31.47;45.34;46.23;44.99;76.77;75.30;63.31;3;4;10;2020;289;15;42;2176.99;2130.00;-46.99;yes;down;down;no;yes;no;no
10/16/2020;2188.57;2132.86;2098.57;27.95;45.34;46.23;44.99;68.11;70.52;63.96;4;4;10;2020;290;16;42;2178.18;2130.00;-48.18;no;up;up;yes;no;no;no
10/19/2020;2181.43;2141.43;2100.48;35.79;45.34;46.23;44.99;63.82;70.40;63.45;0;4;10;2020;293;19;43;2178.08;2130.00;-48.08;no;up;down;no;no;no;yes
10/20/2020;2171.43;2151.43;2099.52;39.34;37.14;42.97;43.08;48.92;64.88;62.84;1;4;10;2020;294;20;43;2128.39;2090.00;-38.39;yes;down;down;no;yes;no;no
10/21/2020;2155.71;2155.71;2100.95;47.21;30.67;39.93;41.24;34.96;55.91;62.23;2;4;10;2020;295;21;43;2064.68;2050.00;-14.68;yes;down;down;no;yes;no;no
10/22/2020;2132.86;2145.00;2101.90;54.69;46.87;46.08;44.95;48.78;65.49;68.02;3;4;10;2020;296;22;43;2131.31;2110.00;-21.31;yes;up;up;yes;no;no;no
10/23/2020;2121.43;2145.71;2107.86;48.80;39.66;42.93;43.05;43.59;70.20;72.15;4;4;10;2020;297;23;43;2087.57;2070.00;-17.57;yes;down;down;no;yes;no;no
10/26/2020;2101.43;2144.29;2114.52;32.37;34.96;40.68;41.66;46.29;64.59;67.78;0;4;10;2020;300;26;44;2020.10;2040.00;19.90;yes;down;down;no;yes;no;no
10/27/2020;2088.57;2138.57;2118.10;36.71;33.42;39.92;41.20;42.65;57.02;62.60;1;4;10;2020;301;27;44;2017.72;2030.00;12.28;yes;down;down;no;yes;no;no
11/2/2020;2074.29;2127.86;2119.05;37.35;30.30;38.40;40.26;28.18;46.23;57.42;0;4;11;2020;307;2;45;2001.47;2010.00;8.53;yes;down;down;no;yes;no;no
11/3/2020;2057.14;2114.29;2120.00;34.98;30.30;38.40;40.26;45.99;47.36;58.65;1;4;11;2020;308;3;45;2005.32;2010.00;4.68;yes;up;up;yes;no;no;no
11/4/2020;2045.71;2100.71;2119.05;35.52;26.15;36.38;39.03;40.71;38.26;50.14;2;4;11;2020;309;4;45;1982.16;1985.00;2.84;yes;down;down;no;yes;no;no
11/5/2020;2036.43;2084.64;2108.81;42.10;58.95;50.41;47.45;63.48;58.73;64.47;3;4;11;2020;310;5;45;2126.83;2110.00;-16.83;yes;up;up;yes;no;no;no
11/6/2020;2036.43;2078.93;2109.29;42.10;68.18;56.23;51.40;71.63;64.56;71.00;4;4;11;2020;311;6;45;2227.27;2180.00;-47.27;yes;up;up;yes;no;no;no
11/9/2020;2052.14;2076.79;2113.57;68.79;57.42;51.58;48.66;58.40;55.91;60.84;0;4;11;2020;314;9;46;2137.92;2130.00;-7.92;yes;down;down;no;yes;no;no
11/10/2020;2065.00;2076.79;2114.05;74.33;65.13;56.26;51.89;67.97;63.00;64.04;1;4;11;2020;315;10;46;2194.88;2190.00;-4.88;yes;up;up;yes;no;no;no
11/11/2020;2087.86;2081.07;2114.52;85.53;77.17;65.29;58.72;80.22;71.44;70.31;2;4;11;2020;316;11;46;2322.99;2340.00;17.01;yes;up;up;yes;no;no;no
11/12/2020;2135.00;2096.07;2121.19;119.62;68.03;60.79;55.94;80.81;74.59;71.12;3;4;11;2020;317;12;46;2314.15;2290.00;-24.15;yes;down;down;no;yes;no;no
11/13/2020;2175.00;2110.36;2125.48;117.65;68.03;60.79;55.94;81.06;73.08;68.19;4;4;11;2020;318;13;46;2388.60;2290.00;-98.60;no;up;up;yes;no;no;no
11/16/2020;2218.57;2127.50;2129.29;88.40;70.85;62.58;57.28;78.09;73.46;70.22;0;4;11;2020;321;16;47;2416.13;2320.00;-96.13;no;up;up;yes;no;no;no
11/17/2020;2248.57;2142.50;2135.48;80.71;66.30;60.59;56.09;64.83;67.45;64.71;1;4;11;2020;322;17;47;2399.82;2300.00;-99.82;no;down;down;no;yes;no;no
11/18/2020;2265.71;2158.93;2139.76;76.35;66.30;60.59;56.09;73.73;66.58;64.40;2;4;11;2020;323;18;47;2409.91;2300.00;-109.91;no;up;up;yes;no;no;no
11/19/2020;2290.00;2177.50;2147.86;47.61;66.30;60.59;56.09;64.02;66.12;63.42;3;4;11;2020;324;19;47;2396.72;2300.00;-96.72;no;up;down;no;no;no;yes
11/20/2020;2305.71;2196.79;2155.95;18.13;66.30;60.59;56.09;45.32;69.69;64.54;4;4;11;2020;325;20;47;2441.96;2300.00;-141.96;no;up;up;yes;no;no;no
11/23/2020;2300.00;2217.50;2164.05;10.00;81.00;69.18;62.28;56.99;72.53;69.23;0;4;11;2020;328;23;48;2574.38;2430.00;-144.38;no;up;up;yes;no;no;no
11/24/2020;2320.00;2247.50;2180.24;49.33;85.08;72.63;65.07;72.60;77.67;72.91;1;4;11;2020;329;24;48;2578.89;2500.00;-78.89;no;up;up;yes;no;no;no
