Date;7 DAYS MA;14 DAYS MA;21 DAYS MA;7 DAYS STD DEV;RSI 7;RSI 14;RSI 21;MFI 7;MFI 14;MFI 21;dayofweek;quarter;month;year;dayofyear;dayofmonth;weekofyear;Predicted Close;Actual Close;Diff;Within RMSE Range
9/10/2020;90;93.42857143;103.7619048;2.160246899;19.3850152;31.22524926;36.63085666;27.2540048;47.93161208;29.09226808;3;3;9;2020;254;10;37;82.57624;81;1.57624;yes
9/11/2020;88.57142857;92.07142857;100.8095238;3.95209408;18.44004339;30.64434691;36.20108492;-1.27898E-13;49.3345502;29.65527859;4;3;9;2020;255;11;37;80.813675;80;0.813675;yes
9/14/2020;86.85714286;90.78571429;98.28571429;4.740906082;41.66392258;39.1746517;41.26595193;21.56283758;57.30362138;34.06403654;0;3;9;2020;258;14;38;85.59535;87;-1.40465;yes
9/15/2020;86.14285714;90.42857143;96.23809524;4.180453382;38.05218549;37.74617782;40.30600816;31.49143222;42.05082241;35.66083661;1;3;9;2020;259;15;38;85.62821;85;0.62821;yes
9/16/2020;85.28571429;88.92857143;94.19047619;3.59231985;36.22059514;37.01931866;39.81970037;32.36565669;25.55105793;37.73270137;2;3;9;2020;260;16;38;84.57787;84;0.57787;yes
9/17/2020;84.42857143;87.85714286;92.47619048;2.935821456;36.22059514;37.01931866;39.81970037;38.54420937;29.62044229;41.03076423;3;3;9;2020;261;17;38;84.7524;84;0.7524;yes
9/18/2020;84;87.21428571;91.14285714;2.708012802;27.28325155;33.30078952;37.33643635;42.06142476;33.09597905;44.18009965;4;3;9;2020;262;18;38;83.54643;79;4.54643;no
9/21/2020;82.85714286;86.42857143;89.9047619;2.911389784;25.79794929;32.59558319;36.85379293;44.78210143;34.35834217;47.49037691;0;3;9;2020;265;21;39;77.103966;78;-0.896034;yes
9/22/2020;82.42857143;85.5;88.85714286;3.408672413;24.25728607;31.86878823;36.36026709;55.87492666;20.79252398;50.10942419;1;3;9;2020;266;22;39;76.54755;77;-0.45245;yes
9/23/2020;82;84.42857143;87.85714286;3.915780041;21.29050633;30.40842222;35.36571075;23.24455996;22.03751324;54.18122893;2;3;9;2020;267;23;39;75.10195;75;0.10195;yes
9/24/2020;80.28571429;83.21428571;87.04761905;3.98807747;16.56362017;27.67676518;33.44461998;-3.33955E-13;22.99231324;37.36051039;3;3;9;2020;268;24;39;72.597015;71;1.597015;yes
9/25/2020;78.28571429;81.78571429;85.38095238;4.680252333;39.9103817;36.84187103;38.69000457;38.09322787;34.42829612;27.93529001;4;3;9;2020;269;25;39;78.03827;77;1.03827;yes
9/28/2020;77.28571429;80.85714286;84.33333333;3.946064948;37.85096743;36.02252523;38.16364555;45.42909789;41.34131197;33.05720712;0;3;9;2020;272;28;40;78.12457;76;2.12457;yes
9/29/2020;76.14285714;80.07142857;83.52380952;2.60950643;35.70168569;35.17995613;37.62616526;45.19028444;43.40302253;35.97222476;1;3;9;2020;273;29;40;74.488106;75;-0.511894;yes
9/30/2020;75.57142857;79.21428571;82.80952381;2.299068134;35.70168569;35.17995613;37.62616526;47.90565258;46.12473368;37.52905397;2;3;9;2020;274;30;40;72.30812;75;-2.69188;yes
10/1/2020;75.14285714;78.78571429;82.04761905;2.035400978;53.62337929;42.92174672;42.11973808;66.05041572;61.26384087;34.15517322;3;4;10;2020;275;1;40;76.06761;80;-3.93239;no
10/2/2020;75.57142857;78.78571429;81.47619048;2.699206233;47.45126403;40.82152107;40.88271346;77.02651845;56.86559098;39.63680834;4;4;10;2020;276;2;40;75.28659;78;-2.71341;yes
10/5/2020;76;78.14285714;80.80952381;2.828427125;44.46572972;39.77357747;40.26192094;81.79544716;51.65194178;41.58708281;0;4;10;2020;279;5;41;76.9795;77;-0.0205;yes
10/6/2020;76.85714286;77.57142857;80.14285714;1.772810521;67.97409658;52.81764473;48.47676273;83.40555001;63.43471515;49.78974586;1;4;10;2020;280;6;41;83.29004;87;-3.70996;no
10/7/2020;78.28571429;77.78571429;80;4.231401884;61.86364023;50.46357845;47.11614236;86.03924619;69.64708355;58.10694518;2;4;10;2020;281;7;41;83.25121;85;-1.74879;yes
10/8/2020;79.57142857;77.85714286;79.9047619;4.755948656;55.99146725;48.15235533;45.76733995;86.83427867;69.87956837;60.09727786;3;4;10;2020;282;8;41;81.13903;83;-1.86097;yes
10/9/2020;80.71428571;78.14285714;79.71428571;4.423960733;58.30040387;49.40021904;46.57034865;85.83141648;71.02664426;62.07337777;4;4;10;2020;283;9;41;83.26636;84;-0.73364;yes
10/12/2020;82;78.57142857;79.85714286;3.741657387;54.93767255;48.15215034;45.85740029;76.85624178;71.75575317;67.06448439;0;4;10;2020;286;12;42;83.39538;83;0.39538;yes
10/13/2020;82.42857143;79;80;3.644957378;57.77884445;49.52545444;46.71394775;73.10532841;75.16039144;62.74612552;1;4;10;2020;287;13;42;84.77319;84;0.77319;yes
10/14/2020;83.28571429;79.64285714;79.85714286;3.093772547;53.81994959;48.15193628;45.95065121;79.84561672;80.76384848;63.35269143;2;4;10;2020;288;14;42;83.212944;83;0.212944;yes
10/15/2020;84.14285714;80.5;79.76190476;1.463850109;53.81994959;48.15193628;45.95065121;60.85780005;74.08224092;62.70600036;3;4;10;2020;289;15;42;87.12413;83;4.12413;no
10/16/2020;83.57142857;80.92857143;79.71428571;0.786795792;49.22883384;46.6514218;45.13751561;35.57140678;71.25963405;62.89822194;4;4;10;2020;290;16;42;81.56609;82;-0.43391;yes
10/19/2020;83.14285714;81.35714286;79.61904762;0.690065559;49.22883384;46.6514218;45.13751561;31.07146417;68.78754679;61.30338827;0;4;10;2020;293;19;43;81.56609;82;-0.43391;yes
10/20/2020;83;81.85714286;79.76190476;0.816496581;33.61617616;40.75917207;41.87003364;23.85783479;62.20859608;58.14952387;1;4;10;2020;294;20;43;79.99228;78;1.99228;yes
10/21/2020;82.14285714;82.07142857;79.76190476;1.951800146;39.23680241;42.70739878;42.9540349;26.27744251;56.88740755;60.10440373;2;4;10;2020;295;21;43;80.91907;79;1.91907;yes
10/22/2020;81.57142857;82;79.85714286;2.225394561;28.12431692;37.40798998;39.83417671;19.89995501;46.48876011;57.32899832;3;4;10;2020;296;22;43;78.41206;75;3.41206;yes
