Date;7 DAYS MA;14 DAYS MA;21 DAYS MA;7 DAYS STD DEV;RSI 7;RSI 14;RSI 21;MFI 7;MFI 14;MFI 21;dayofweek;quarter;month;year;dayofyear;dayofmonth;weekofyear;Predicted Close;Actual Close;Diff;Within RMSE Range;Actual Return;Predicted Return;TP;TN;FP;FN
9/10/2020;2295.71;2364.29;2391.43;45.77;14.72;27.49;34.75;41.59;34.87;46.39;3;3;9;2020;254;10;37;2148.73;2080.00;-68.73;yes;down;down;no;yes;no;no
9/11/2020;2264.29;2335.00;2376.67;93.25;45.14;43.41;44.86;39.52;39.41;47.08;4;3;9;2020;255;11;37;2316.82;2250.00;-66.82;yes;up;up;yes;no;no;no
9/14/2020;2252.86;2320.00;2370.00;88.64;46.45;44.18;45.38;36.15;41.45;48.46;0;3;9;2020;258;14;38;2321.35;2260.00;-61.35;yes;up;up;yes;no;no;no
9/15/2020;2238.57;2305.00;2362.86;75.59;37.14;39.00;41.65;37.49;31.49;48.57;1;3;9;2020;259;15;38;2144.45;2170.00;25.55;yes;down;down;no;yes;no;no
9/16/2020;2218.57;2281.43;2352.38;71.98;37.14;39.00;41.65;38.75;37.51;41.14;2;3;9;2020;260;16;38;2121.08;2170.00;48.92;yes;up;down;no;no;no;yes
9/17/2020;2201.43;2262.86;2336.19;66.19;33.12;36.77;40.03;40.67;39.29;34.92;3;3;9;2020;261;17;38;2106.77;2130.00;23.23;yes;down;down;no;yes;no;no
9/18/2020;2182.86;2245.00;2316.67;65.25;37.09;38.66;41.23;49.37;47.62;38.75;4;3;9;2020;262;18;38;2119.32;2150.00;30.68;yes;up;up;yes;no;no;no
9/21/2020;2172.86;2234.29;2300.48;63.96;26.20;32.42;36.63;56.03;47.42;39.41;0;3;9;2020;265;21;39;2072.45;2030.00;-42.45;yes;down;down;no;yes;no;no
9/22/2020;2165.71;2215.00;2278.57;77.43;24.13;31.07;35.59;36.40;38.22;38.76;1;3;9;2020;266;22;39;2034.69;2000.00;-34.69;yes;down;down;no;yes;no;no
9/23/2020;2130.00;2191.43;2256.67;88.88;21.21;29.11;34.06;7.61;24.45;34.81;2;3;9;2020;267;23;39;1943.82;1955.00;11.18;yes;down;down;no;yes;no;no
9/24/2020;2086.43;2162.50;2232.14;89.29;19.66;28.05;33.23;7.03;24.14;25.98;3;3;9;2020;268;24;39;1886.25;1930.00;43.75;yes;down;down;no;yes;no;no
9/25/2020;2052.14;2135.36;2205.00;97.55;23.56;29.70;34.24;20.53;30.24;32.87;4;3;9;2020;269;25;39;1869.53;1945.00;75.47;yes;up;down;no;no;no;yes
9/28/2020;2020.00;2110.71;2181.90;88.93;43.74;39.22;40.26;36.08;38.32;38.30;0;3;9;2020;272;28;40;1960.60;2040.00;79.40;yes;up;up;yes;no;no;no
9/29/2020;2007.14;2095.00;2165.71;75.93;41.08;38.05;39.46;42.49;45.57;45.76;1;3;9;2020;273;29;40;1905.88;2020.00;114.12;yes;down;down;no;yes;no;no
9/30/2020;1988.57;2080.71;2152.38;44.60;37.12;36.30;38.27;43.26;48.64;45.93;2;3;9;2020;274;30;40;1895.15;1990.00;94.85;yes;down;down;no;yes;no;no
10/1/2020;1982.86;2074.29;2137.62;40.81;51.62;43.72;43.09;61.88;51.51;47.16;3;4;10;2020;275;1;40;2043.97;2070.00;26.03;yes;up;up;yes;no;no;no
10/2/2020;1992.86;2061.43;2125.24;52.59;41.78;39.40;40.20;65.45;42.30;40.05;4;4;10;2020;276;2;40;1904.52;2000.00;95.48;yes;down;down;no;yes;no;no
10/5/2020;1999.29;2042.86;2108.10;49.87;45.26;41.19;41.38;78.74;46.29;43.06;0;4;10;2020;279;5;41;2028.46;2020.00;-8.46;yes;up;up;yes;no;no;no
10/6/2020;2012.14;2032.14;2094.29;39.57;48.82;43.00;42.57;79.98;52.73;47.93;1;4;10;2020;280;6;41;2055.05;2040.00;-15.05;yes;up;up;yes;no;no;no
10/7/2020;2025.71;2022.86;2082.38;26.99;55.58;46.55;44.91;81.46;60.08;54.05;2;4;10;2020;281;7;41;2091.12;2080.00;-11.12;yes;up;up;yes;no;no;no
10/8/2020;2031.43;2019.29;2073.81;33.88;53.52;45.78;44.44;80.30;60.92;57.52;3;4;10;2020;282;8;41;2091.62;2070.00;-21.62;yes;down;up;no;no;yes;no
10/9/2020;2038.57;2013.57;2066.67;36.25;53.52;45.78;44.44;84.32;62.95;61.05;4;4;10;2020;283;9;41;2092.51;2070.00;-22.51;yes;up;up;yes;no;no;no
10/12/2020;2050.00;2016.43;2066.19;30.55;50.95;44.92;43.92;71.10;65.67;57.24;0;4;10;2020;286;12;42;2077.29;2060.00;-17.29;yes;down;down;no;yes;no;no
10/13/2020;2048.57;2020.71;2057.14;29.68;50.95;44.92;43.92;63.31;64.48;49.27;1;4;10;2020;287;13;42;2074.52;2060.00;-14.52;yes;up;down;no;no;no;yes
10/14/2020;2057.14;2028.21;2047.62;20.59;58.99;48.29;45.99;72.28;75.14;56.87;2;4;10;2020;288;14;42;2118.31;2090.00;-28.31;yes;up;up;yes;no;no;no
10/15/2020;2067.14;2039.64;2043.81;16.04;44.73;43.51;43.20;58.87;68.70;55.09;3;4;10;2020;289;15;42;2088.49;2040.00;-48.49;yes;down;down;no;yes;no;no
10/16/2020;2067.14;2046.43;2037.62;16.04;47.68;44.69;43.92;40.91;61.62;53.64;4;4;10;2020;290;16;42;2106.55;2050.00;-56.55;yes;up;up;yes;no;no;no
10/19/2020;2062.86;2047.14;2033.81;16.04;53.48;47.07;45.36;42.84;61.09;54.79;0;4;10;2020;293;19;43;2105.21;2070.00;-35.21;yes;up;down;no;no;no;yes
10/20/2020;2062.86;2050.71;2030.00;16.04;44.79;44.01;43.59;42.22;62.07;55.70;1;4;10;2020;294;20;43;2088.25;2040.00;-48.25;yes;down;down;no;yes;no;no
10/21/2020;2058.57;2054.29;2030.48;17.73;48.07;45.29;44.35;48.69;58.24;59.62;2;4;10;2020;295;21;43;2103.15;2050.00;-53.15;yes;up;up;yes;no;no;no
10/22/2020;2057.14;2052.86;2032.86;17.99;44.96;44.20;43.74;58.01;60.65;62.45;3;4;10;2020;296;22;43;2084.98;2040.00;-44.98;yes;down;down;no;yes;no;no
10/23/2020;2054.29;2055.71;2036.90;19.02;48.83;45.61;44.54;37.94;60.61;66.86;4;4;10;2020;297;23;43;2088.81;2050.00;-38.81;yes;up;up;yes;no;no;no
10/26/2020;2048.57;2057.86;2042.62;10.69;39.19;42.18;42.61;31.62;48.29;59.30;0;4;10;2020;300;26;44;1976.28;2020.00;43.72;yes;down;down;no;yes;no;no
10/27/2020;2045.71;2056.43;2046.19;15.12;36.39;41.07;41.98;35.24;38.71;55.39;1;4;10;2020;301;27;44;1965.03;2010.00;44.97;yes;down;down;no;yes;no;no
11/2/2020;2040.00;2051.43;2044.76;20.00;36.39;41.07;41.98;16.40;33.39;51.17;0;4;11;2020;307;2;45;1964.37;2010.00;45.63;yes;up;down;no;no;no;yes
11/3/2020;2031.43;2047.14;2044.29;17.73;36.39;41.07;41.98;23.56;35.81;53.72;1;4;11;2020;308;3;45;1965.03;2010.00;44.97;yes;up;up;yes;no;no;no
11/4/2020;2027.14;2042.86;2045.24;18.90;31.11;39.14;40.92;10.80;34.28;45.89;2;4;11;2020;309;4;45;1960.40;1995.00;34.60;yes;down;down;no;yes;no;no
11/5/2020;2019.29;2038.21;2041.67;19.24;71.43;57.18;51.62;51.34;54.28;57.03;3;4;11;2020;310;5;45;2130.12;2120.00;-10.12;yes;up;up;yes;no;no;no
11/6/2020;2030.71;2042.50;2047.38;42.86;74.25;59.26;53.05;61.21;54.28;60.88;4;4;11;2020;311;6;45;2154.33;2140.00;-14.33;yes;up;up;yes;no;no;no
11/9/2020;2043.57;2046.07;2053.10;59.77;63.33;54.95;50.69;64.41;52.97;55.06;0;4;11;2020;314;9;46;2104.52;2110.00;5.48;yes;down;down;no;yes;no;no
11/10/2020;2056.43;2051.07;2056.43;63.42;56.83;52.22;49.16;60.13;52.42;48.64;1;4;11;2020;315;10;46;2119.76;2090.00;-29.76;yes;down;up;no;no;yes;no
11/11/2020;2067.86;2053.93;2056.90;60.82;71.95;61.49;55.51;71.94;58.20;53.47;2;4;11;2020;316;11;46;2244.13;2180.00;-64.13;yes;up;up;yes;no;no;no
11/12/2020;2092.14;2061.79;2062.14;67.44;63.32;57.48;53.18;65.48;55.96;51.80;3;4;11;2020;317;12;46;2159.64;2150.00;-9.64;yes;down;down;no;yes;no;no
11/13/2020;2112.14;2069.64;2065.95;59.29;70.25;61.93;56.38;73.74;57.96;55.28;4;4;11;2020;318;13;46;2236.07;2200.00;-36.07;yes;up;up;yes;no;no;no
11/16/2020;2141.43;2080.36;2072.62;38.91;72.67;63.57;57.59;68.03;61.11;60.35;0;4;11;2020;321;16;47;2329.18;2220.00;-109.18;yes;up;up;yes;no;no;no
11/17/2020;2155.71;2093.21;2080.24;47.21;73.90;64.40;58.20;65.00;63.13;58.77;1;4;11;2020;322;17;47;2343.75;2230.00;-113.75;yes;up;up;yes;no;no;no
11/18/2020;2168.57;2106.07;2086.90;53.98;63.82;60.00;55.68;66.04;65.25;58.32;2;4;11;2020;323;18;47;2293.83;2200.00;-93.83;yes;down;down;no;yes;no;no
11/19/2020;2181.43;2118.93;2094.52;48.11;60.60;58.56;54.84;65.73;62.93;57.85;3;4;11;2020;324;19;47;2284.28;2190.00;-94.28;yes;down;down;no;yes;no;no
11/20/2020;2195.71;2131.79;2101.19;26.37;62.79;59.61;55.54;62.96;68.11;59.91;4;4;11;2020;325;20;47;2268.63;2200.00;-68.63;yes;up;down;no;no;no;yes
11/23/2020;2198.57;2145.36;2107.38;25.45;75.49;66.79;60.66;79.02;71.65;65.02;0;4;11;2020;328;23;48;2363.58;2280.00;-83.58;yes;up;up;yes;no;no;no
11/24/2020;2217.14;2164.64;2118.81;30.94;79.56;69.70;62.90;80.78;77.08;67.16;1;4;11;2020;329;24;48;2455.98;2320.00;-135.98;yes;up;up;yes;no;no;no
11/25/2020;2234.29;2187.86;2131.67;48.26;72.53;66.56;61.07;82.31;75.79;69.82;2;4;11;2020;330;25;48;2374.43;2300.00;-74.43;yes;down;down;no;yes;no;no
11/26/2020;2245.71;2200.71;2144.05;53.50;76.21;68.83;62.78;81.80;74.39;70.44;3;4;11;2020;331;26;48;2500.02;2330.00;-170.02;yes;up;up;yes;no;no;no
11/27/2020;2260.00;2214.29;2157.38;61.37;78.45;70.27;63.88;90.95;80.02;75.46;4;4;11;2020;332;27;48;2581.66;2350.00;-231.66;no;up;up;yes;no;no;no
11/30/2020;2281.43;2231.43;2173.10;63.09;42.99;51.13;51.77;82.81;75.68;71.10;0;4;11;2020;335;30;49;2236.08;2200.00;-36.08;yes;down;down;no;yes;no;no
12/1/2020;2282.86;2239.29;2182.14;60.75;48.43;53.84;53.62;72.31;68.42;69.68;1;4;12;2020;336;1;49;2301.90;2230.00;-71.90;yes;up;up;yes;no;no;no
12/2/2020;2287.14;2242.86;2192.62;54.69;74.71;70.35;66.27;89.08;86.54;81.67;2;4;12;2020;337;2;49;2495.50;2510.00;14.50;yes;up;up;yes;no;no;no
12/3/2020;2320.00;2268.57;2216.43;100.00;70.23;67.56;64.30;90.62;88.25;85.20;3;4;12;2020;338;3;49;2537.87;2480.00;-57.87;yes;down;up;no;no;yes;no
12/4/2020;2342.86;2288.57;2239.52;116.86;75.86;71.61;67.67;92.83;90.64;87.28;4;4;12;2020;339;4;49;2614.40;2580.00;-34.40;yes;up;up;yes;no;no;no
12/7/2020;2382.86;2314.29;2261.43;144.42;79.47;74.36;70.04;93.86;91.69;88.38;0;4;12;2020;342;7;50;2695.90;2660.00;-35.90;yes;up;up;yes;no;no;no
12/8/2020;2430.00;2345.00;2286.19;174.93;76.15;72.47;68.72;94.27;93.71;90.49;1;4;12;2020;343;8;50;2696.16;2640.00;-56.16;yes;down;up;no;no;yes;no
12/10/2020;2471.43;2376.43;2311.43;186.76;63.70;65.31;63.66;89.62;88.43;85.91;3;4;12;2020;345;10;50;2538.99;2560.00;21.01;yes;down;down;no;yes;no;no
12/11/2020;2522.86;2402.86;2333.81;144.30;71.24;69.74;67.15;91.87;88.79;86.19;4;4;12;2020;346;11;50;2633.45;2670.00;36.55;yes;up;up;yes;no;no;no
12/14/2020;2585.71;2436.43;2357.14;74.35;88.28;83.41;79.54;93.44;92.24;91.11;0;4;12;2020;349;14;51;3048.02;3330.00;281.98;no;up;up;yes;no;no;no
12/15/2020;2702.86;2511.43;2413.33;284.41;88.98;84.11;80.25;94.68;93.60;92.61;1;4;12;2020;350;15;51;3226.89;3390.00;163.11;yes;up;up;yes;no;no;no
12/16/2020;2832.86;2587.86;2470.00;362.75;94.39;90.31;86.93;95.00;94.34;93.44;2;4;12;2020;351;16;51;3499.53;4230.00;730.47;no;up;up;yes;no;no;no
12/17/2020;3068.57;2725.71;2565.71;617.61;78.80;78.88;77.44;96.32;95.64;94.85;3;4;12;2020;352;17;51;3507.61;3940.00;432.39;no;down;up;no;no;yes;no
12/18/2020;3251.43;2840.71;2647.14;664.21;84.99;83.64;81.88;96.94;96.26;96.00;4;4;12;2020;353;18;51;3760.05;4560.00;799.95;no;up;up;yes;no;no;no
12/21/2020;3525.71;2998.57;2759.52;759.27;90.10;88.05;86.20;100.00;97.72;97.06;0;4;12;2020;356;21;52;4125.46;5500.00;1374.54;no;up;up;yes;no;no;no
12/22/2020;3945.71;3234.29;2917.14;930.00;81.49;81.74;80.82;100.00;98.31;97.35;1;4;12;2020;357;22;52;4236.97;5250.00;1013.03;no;down;up;no;no;yes;no
12/23/2020;4314.29;3450.00;3062.38;847.76;84.29;83.75;82.64;100.00;98.43;97.64;2;4;12;2020;358;23;52;4590.24;5650.00;1059.76;no;up;up;yes;no;no;no
12/28/2020;4645.71;3674.29;3222.86;852.31;84.29;83.75;82.64;100.00;98.39;97.63;0;4;12;2020;363;28;53;5047.55;5650.00;602.45;no;up;up;yes;no;no;no
