Date;7 DAYS MA;14 DAYS MA;21 DAYS MA;7 DAYS STD DEV;RSI 7;RSI 14;RSI 21;MFI 7;MFI 14;MFI 21;dayofweek;quarter;month;year;dayofyear;dayofmonth;weekofyear;Predicted Close;Actual Close;Diff;Within RMSE Range
9/10/2020;2881.428571;2927.142857;2947.619048;47.05619741;21.76351471;29.81160111;34.15188332;19.23686816;16.91852976;26.79320163;3;3;9;2020;254;10;37;2725.1714;2700;25.1714;yes
9/11/2020;2852.857143;2905.714286;2934.285714;81.7953311;42.08745051;40.96164433;41.57974951;25.86898156;26.00130532;32.44833627;4;3;9;2020;255;11;37;2848.3232;2810;38.3232;yes
9/14/2020;2832.857143;2892.142857;2926.666667;70.40698017;52.54686717;47.49443224;46.21298877;38.78203066;32.33446921;37.73582228;0;3;9;2020;258;14;38;2874.0078;2890;-15.9922;yes
9/15/2020;2831.428571;2885.714286;2924.761905;68.90296835;45.37603759;43.59792018;43.49639242;40.33850601;25.93424365;37.85221445;1;3;9;2020;259;15;38;2834.466;2830;4.466;yes
9/16/2020;2827.142857;2872.142857;2919.047619;67.753053;41.02197499;41.17277951;41.77729909;33.56452389;26.50934337;32.92650267;2;3;9;2020;260;16;38;2814.5815;2790;24.5815;yes
9/17/2020;2811.428571;2857.857143;2908.571429;60.39552175;45.59025624;43.70213034;43.53472972;42.94464816;32.91299118;32.86194477;3;3;9;2020;261;17;38;2833.3516;2820;13.3516;yes
9/18/2020;2805.714286;2847.857143;2898.571429;56.82051943;55.06506226;49.19156966;47.42292733;56.52550128;43.08855878;33.2397206;4;3;9;2020;262;18;38;2865.7878;2890;-24.2122;yes
9/21/2020;2818.571429;2850;2890.952381;64.9175301;44.68899125;43.92070396;43.80336824;67.99884999;42.88961622;33.36659674;0;3;9;2020;265;21;39;2829.3274;2810;19.3274;yes
9/22/2020;2834.285714;2843.571429;2881.904762;39.94043184;41.28544376;42.09899518;42.52535365;52.78730701;37.36173266;33.45266776;1;3;9;2020;266;22;39;2819.2734;2780;39.2734;yes
9/23/2020;2830;2831.428571;2871.428571;44.34711565;44.56896466;43.77334175;43.6756832;49.7534371;43.29325772;36.92398169;2;3;9;2020;267;23;39;2833.4902;2800;33.4902;yes
9/24/2020;2817.142857;2824.285714;2862.857143;36.38419332;36.2834823;39.47113214;40.68328537;52.38037486;45.25463871;32.70299644;3;3;9;2020;268;24;39;2790.1077;2730;60.1077;no
9/25/2020;2802.857143;2815;2849.047619;48.20590756;32.2825449;37.21998104;39.0768956;45.17457789;38.71331175;31.91519932;4;3;9;2020;269;25;39;2738.7502;2690;48.7502;yes
9/28/2020;2788.571429;2800;2834.761905;64.66028442;29.44184194;35.58094506;37.89845689;33.05915967;38.63864796;32.95601069;0;3;9;2020;272;28;40;2707.3835;2660;47.3835;yes
9/29/2020;2765.714286;2785.714286;2820.47619;78.497801;26.70072305;33.96995806;36.73524408;11.50234206;37.80978884;33.79236165;1;3;9;2020;273;29;40;2673.6821;2630;43.6821;yes
9/30/2020;2728.571429;2773.571429;2809.52381;71.04659772;21.30184328;30.49991651;34.16604123;9.952883404;39.1355112;32.21106874;2;3;9;2020;274;30;40;2598.2341;2560;38.2341;yes
10/1/2020;2692.857143;2763.571429;2793.333333;84.79667559;52.0220732;46.48048083;45.10746023;30.25737296;39.89569756;34.77939046;3;4;10;2020;275;1;40;2744.029;2750;-5.971;yes
10/2/2020;2688.571429;2759.285714;2783.809524;80.29706749;44.54767586;42.59459202;42.38259539;20.69463578;32.34726876;34.69450484;4;4;10;2020;276;2;40;2691.2344;2680;11.2344;yes
10/5/2020;2671.428571;2744.285714;2773.333333;63.62090103;41.56192104;41.01210654;41.26096823;19.82515426;32.14923465;35.050692;0;4;10;2020;279;5;41;2675.3328;2650;25.3328;yes
10/6/2020;2660;2731.428571;2763.333333;58.30951895;41.56192104;41.01210654;41.26096823;20.4437172;30.86579964;31.79931858;1;4;10;2020;280;6;41;2673.7456;2650;23.7456;yes
10/7/2020;2654.285714;2721.428571;2751.428571;56.82051943;43.28651843;41.84733068;41.82674057;20.08932292;25.44940614;31.55078824;2;4;10;2020;281;7;41;2682.5386;2660;22.5386;yes
10/8/2020;2654.285714;2710;2741.904762;56.82051943;50.15165692;45.19037152;44.08859487;33.79182217;24.72040154;36.2941255;3;4;10;2020;282;8;41;2712.7654;2700;12.7654;yes
10/9/2020;2664.285714;2696.428571;2737.142857;57.98193479;54.92583621;47.62237278;45.74968818;48.59867278;30.46694319;42.54257257;4;4;10;2020;283;9;41;2723.2483;2730;-6.7517;yes
