Date;7 DAYS MA;14 DAYS MA;21 DAYS MA;7 DAYS STD DEV;RSI 7;RSI 14;RSI 21;MFI 7;MFI 14;MFI 21;dayofweek;quarter;month;year;dayofyear;dayofmonth;weekofyear;Predicted Close;Actual Close;Diff;Within RMSE Range;Actual Return;Predicted Return;TP;TN;FP;FN
9/10/2020;2881.43;2927.14;2947.62;47.06;21.76;29.81;34.15;19.24;16.92;26.79;3;3;9;2020;254;10;37;2725.17;2700.00;25.17;yes;down;down;no;yes;no;no
9/11/2020;2852.86;2905.71;2934.29;81.80;42.09;40.96;41.58;25.87;26.00;32.45;4;3;9;2020;255;11;37;2848.32;2810.00;38.32;yes;up;up;yes;no;no;no
9/14/2020;2832.86;2892.14;2926.67;70.41;52.55;47.49;46.21;38.78;32.33;37.74;0;3;9;2020;258;14;38;2874.01;2890.00;-15.99;yes;up;up;yes;no;no;no
9/15/2020;2831.43;2885.71;2924.76;68.90;45.38;43.60;43.50;40.34;25.93;37.85;1;3;9;2020;259;15;38;2834.47;2830.00;4.47;yes;down;down;no;yes;no;no
9/16/2020;2827.14;2872.14;2919.05;67.75;41.02;41.17;41.78;33.56;26.51;32.93;2;3;9;2020;260;16;38;2814.58;2790.00;24.58;yes;down;down;no;yes;no;no
9/17/2020;2811.43;2857.86;2908.57;60.40;45.59;43.70;43.53;42.94;32.91;32.86;3;3;9;2020;261;17;38;2833.35;2820.00;13.35;yes;up;up;yes;no;no;no
9/18/2020;2805.71;2847.86;2898.57;56.82;55.07;49.19;47.42;56.53;43.09;33.24;4;3;9;2020;262;18;38;2865.79;2890.00;-24.21;yes;up;up;yes;no;no;no
9/21/2020;2818.57;2850.00;2890.95;64.92;44.69;43.92;43.80;68.00;42.89;33.37;0;3;9;2020;265;21;39;2829.33;2810.00;19.33;yes;down;down;no;yes;no;no
9/22/2020;2834.29;2843.57;2881.90;39.94;41.29;42.10;42.53;52.79;37.36;33.45;1;3;9;2020;266;22;39;2819.27;2780.00;39.27;yes;down;down;no;yes;no;no
9/23/2020;2830.00;2831.43;2871.43;44.35;44.57;43.77;43.68;49.75;43.29;36.92;2;3;9;2020;267;23;39;2833.49;2800.00;33.49;yes;up;up;yes;no;no;no
9/24/2020;2817.14;2824.29;2862.86;36.38;36.28;39.47;40.68;52.38;45.25;32.70;3;3;9;2020;268;24;39;2790.11;2730.00;60.11;no;down;down;no;yes;no;no
9/25/2020;2802.86;2815.00;2849.05;48.21;32.28;37.22;39.08;45.17;38.71;31.92;4;3;9;2020;269;25;39;2738.75;2690.00;48.75;yes;down;down;no;yes;no;no
9/28/2020;2788.57;2800.00;2834.76;64.66;29.44;35.58;37.90;33.06;38.64;32.96;0;3;9;2020;272;28;40;2707.38;2660.00;47.38;yes;down;down;no;yes;no;no
9/29/2020;2765.71;2785.71;2820.48;78.50;26.70;33.97;36.74;11.50;37.81;33.79;1;3;9;2020;273;29;40;2673.68;2630.00;43.68;yes;down;down;no;yes;no;no
9/30/2020;2728.57;2773.57;2809.52;71.05;21.30;30.50;34.17;9.95;39.14;32.21;2;3;9;2020;274;30;40;2598.23;2560.00;38.23;yes;down;down;no;yes;no;no
10/1/2020;2692.86;2763.57;2793.33;84.80;52.02;46.48;45.11;30.26;39.90;34.78;3;4;10;2020;275;1;40;2744.03;2750.00;-5.97;yes;up;up;yes;no;no;no
10/2/2020;2688.57;2759.29;2783.81;80.30;44.55;42.59;42.38;20.69;32.35;34.69;4;4;10;2020;276;2;40;2691.23;2680.00;11.23;yes;down;down;no;yes;no;no
10/5/2020;2671.43;2744.29;2773.33;63.62;41.56;41.01;41.26;19.83;32.15;35.05;0;4;10;2020;279;5;41;2675.33;2650.00;25.33;yes;down;down;no;yes;no;no
10/6/2020;2660.00;2731.43;2763.33;58.31;41.56;41.01;41.26;20.44;30.87;31.80;1;4;10;2020;280;6;41;2673.75;2650.00;23.75;yes;up;down;no;no;no;yes
